Orestis Karnezis	Goal Keeper	Greece	Granada
Stefanos Kapino	Goal Keeper	Greece	Panathinaikos
Panagiotis Glykos	Goal Keeper	Greece	PAOK
Vasilis Torosidis	Defender	Greece	Roma
Loukas Vyntra	Defender	Greece	Levante
Sokratis Papastathopoulos	Defender	Greece	Borussia Dortmund
Giannis Maniatis	Defender	Greece	Olympiacos
José Holebas	Defender	Greece	Olympiacos
Vangelis Moras	Defender	Greece	Hellas Verona
Giorgos Tzavellas	Defender	Greece	PAOK
Kostas Manolas	Defender	Greece	Olympiacos
Giorgos Karagounis (captain)	Midfielder	Greece	Fulham
Kostas Katsouranis	Midfielder	Greece	PAOK
Alexandros Tziolis	Midfielder	Greece	Kayserispor
Giannis Fetfatzidis	Midfielder	Greece	Genoa
Lazaros Christodoulopoulos	Midfielder	Greece	Bologna
Panagiotis Kone	Midfielder	Greece	Bologna
Panagiotis Tachtsidis	Midfielder	Greece	Torino
Andreas Samaris	Midfielder	Greece	Olympiacos
Dimitris Salpingidis	Forward	Greece	PAOK
Giorgos Samaras	Forward	Greece	Celtic
Theofanis Gekas	Forward	Greece	Konyaspor
Kostas Mitroglou	Forward	Greece	Fulham
Noel Valladares (captain)	Goal Keeper	Honduras	Olimpia
Donis Escober	Goal Keeper	Honduras	Olimpia
Luis López	Goal Keeper	Honduras	Real España
Maynor Figueroa	Defender	Honduras	Hull City
Víctor Bernárdez	Defender	Honduras	San Jose Earthquakes
Emilio Izaguirre	Defender	Honduras	Celtic
Osman Chávez	Defender	Honduras	Qingdao Jonoon
Juan Carlos García	Defender	Honduras	Wigan Athletic
Brayan Beckeles	Defender	Honduras	Olimpia
Juan Pablo Montes	Defender	Honduras	Motagua
Wilson Palacios	Midfielder	Honduras	Stoke City
Óscar García	Midfielder	Honduras	Houston Dynamo
Jorge Claros	Midfielder	Honduras	Motagua
Marvin Chávez	Midfielder	Honduras	Chivas USA
Roger Espinoza	Midfielder	Honduras	Wigan Athletic
Mario Martínez	Midfielder	Honduras	Real España
Arnold Peralta	Midfielder	Honduras	Rangers
Luis Garrido	Midfielder	Honduras	Olimpia
Andy Najar	Midfielder	Honduras	Anderlecht
Carlo Costly	Forward	Honduras	Real España
Jerry Bengtson	Forward	Honduras	New England Revolution
Jerry Palacios	Forward	Honduras	Alajuelense
Rony Martínez	Forward	Honduras	Real Sociedad
Stipe Pletikosa	Goal Keeper	Croatia	Rostov
Danijel Subašić	Goal Keeper	Croatia	Monaco
Oliver Zelenika	Goal Keeper	Croatia	NK Lokomotiva
