#Italy
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,MF,Bohdan Lyednyev,7 April 1998 (aged 23),0,0,Dynamo Kyiv
,,,,,,
,FW,Roman Yaremchuk,27 November 1995 (aged 25),22,7,Gent
,FW,Artem Besyedin,31 March 1996 (aged 25),14,2,Dynamo Kyiv
,FW,Artem Dovbyk,21 June 1997 (aged 23),2,0,Dnipro-1

#Croatia
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Dominik Livaković,9 January 1995 (aged 26),19,0,Dinamo Zagreb
2,DF,Šime Vrsaljko,10 January 1992 (aged 29),47,0,Atlético Madrid
3,DF,Borna Barišić,10 November 1992 (aged 28),18,1,Rangers
4,FW,Ivan Perišić,2 February 1989 (aged 32),99,27,Internazionale
5,DF,Duje Ćaleta-Car,17 September 1996 (aged 24),12,0,Marseille
6,DF,Dejan Lovren,5 July 1989 (aged 31),64,4,Zenit Saint Petersburg
7,FW,Josip Brekalo,23 June 1998 (aged 22),22,4,VfL Wolfsburg
8,MF,Mateo Kovačić,6 May 1994 (aged 27),66,3,Chelsea
9,FW,Andrej Kramarić,19 June 1991 (aged 29),52,14,1899 Hoffenheim
10,MF,Luka Modrić (captain),9 September 1985 (aged 35),136,17,Real Madrid
11,MF,Marcelo Brozović,16 November 1992 (aged 28),57,6,Internazionale
